,,4-2021 Breakfast Monthly Report
store_code,store_name,tc,sales,net_sales,
729,KAPITOLYO PASIG,3,992.57,802.68,
730,MCKINLEY WEST,164,67146.33,54354.42,
740,TELABASTAGAN DT,1,293.00,217.86,
744,EASTLAND HEIGHTS COGEO,3,723.00,514.28,
747,QA SAN DIONISIO,237,88730.86,70551.63,
760,PEMBO,710,243657.14,191164.23,
762,CAYETANO BOULEVARD,140,58315.05,48178.21,
765,PILI CAMSUR,1,154.00,93.75,
768,BINAN HIGHWAY,193,65099.62,50675.08,
772,NANGKA MARIKINA,1,1309.00,1125.00,
775,VERMOSA,1,415.00,326.79,
776,VICAS CAMARIN,7,1420.00,961.60,
778,MACTAN TOWN CENTER,1,472.00,377.68,
782,SHELL BROOKSIDE CAINTA,1,263.71,247.32,
786,GUAGUA PAMPANGA,1,531.00,430.36,
797,MUZON,1,248.00,177.68,
799,ETON STA. ROSA,1,309.00,232.14,
804,SILANG BULIHAN,2,1058.00,857.14,
807,HULONG DUHAT,280,103691.60,85140.46,
809,TAYTAY BAYAN,186,63771.29,49829.68,
812,UN DEL PILAR,49,18911.28,15226.78,
814,SAN PEDRO BAYAN,360,143737.87,118016.15,
815,GUIGUINTO,2,1976.86,1728.58,
816,XENTROMALL MONTALBAN HIGHWAY,1,201.00,135.71,
820,QH SAN BARTOLOME,2,641.29,518.75,
825,C4 CALOOCAN,238,96184.79,77299.98,
826,MCARTHUR MABALACAT,1,129.00,71.43,
,Total,25788,9752691.28,7927126.42,
